sickle_address,tx_hash,block_date,block_time,block_number,log_index,address,liquidity,amount0,amount1
0x2173fe72e185696b1ef348e7289594b3a7f4ad2c,0x3990890fc1a7880da9db631d43c2e37346e3d1238e3d2ea54827a5b9f364bbf2,2025-08-31,2025-08-31 22:52:51.000 UTC,67958676,11,0x3fED017EC0f5517Cdf2E8a9a4156c64d74252146,104226501167946,700882052,4510437813
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0x24eb3ec363ae272b75621fc85ed7342521d6116215ff9ca9254a648a03f84cd9,2025-03-09,2025-03-09 08:35:57.000 UTC,58453645,23,0xAAA78E8C4241990B4ce159E105dA08129345946A,7227166435701,13853319434076952,8640037
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0xcef7987c1b9b959d02b192e7526eb702e666f76edc923f1e8575b7f47818bcb2,2025-03-15,2025-03-15 22:07:37.000 UTC,58776074,23,0xAAA78E8C4241990B4ce159E105dA08129345946A,596124127418240,0,490249422
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0x3cef0b96bdd6faea3cbb19ca576e113d2e7f28df695ebc81fe20da5f3626c596,2025-03-09,2025-03-09 21:56:50.000 UTC,58482041,12,0xAAA78E8C4241990B4ce159E105dA08129345946A,4300722518458342716214,33077382022420700976,497562490484942126588
0x5bd24c33e56aadfdb0aa7e0be49e1e2512af96be,0x7359c1f84a3bc68ba93a88760a8e977f84cf1a1395087fa43b8c71c1b1b8487b,2025-07-20,2025-07-20 05:27:34.000 UTC,65767370,2,0x3fED017EC0f5517Cdf2E8a9a4156c64d74252146,3964173554,0,788841
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0xe5c3613e52683bc9d12c425a8a531e56a7d035e39c2f41a8c7e99be17f6161eb,2025-03-09,2025-03-09 16:18:25.000 UTC,58469002,20,0xAAA78E8C4241990B4ce159E105dA08129345946A,83451632764089,110734152677160088,0
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0x46043b51b13c2ac8be08fa62c776027f1f0be4ed60f5f7e5ce814e16d6675d89,2025-03-11,2025-03-11 06:42:17.000 UTC,58550854,1,0xAAA78E8C4241990B4ce159E105dA08129345946A,2486612428177544246190,31739662511174457934,0
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0xc57d9018d2aad05ee253dcce55c91484c841d9b41b362a10305d6bdaad4e9e16,2025-03-09,2025-03-09 06:33:25.000 UTC,58449922,1,0xAAA78E8C4241990B4ce159E105dA08129345946A,2550937571912533289643,32671644575642117493844,0
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0xaaec7548b2756481bac4a4e239ec64dde821d6e70a2d9af9f0ae3bd71631414d,2025-03-08,2025-03-08 08:05:23.000 UTC,58406432,11,0xAAA78E8C4241990B4ce159E105dA08129345946A,1518274867464535,13158360616563143302,269244494
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0x3c29a969ce8d038184ec252ffeddd5f7f5855769b241de74bee64fc38bbd825b,2025-03-09,2025-03-09 22:39:36.000 UTC,58483686,13,0xAAA78E8C4241990B4ce159E105dA08129345946A,3406266486837522598515,10381843757537053036,2243011252362696643395
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0x048e5bfaccf80f85592c2e81c3894566a71b651b8a0852ac4c6083eb682a0d31,2025-03-07,2025-03-07 20:58:05.000 UTC,58383759,33,0xAAA78E8C4241990B4ce159E105dA08129345946A,17818111495990729795946,126749790073132882454594,0
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0xecdcda912f0d873dfb910ce95a45ce88a16bf1762d21799b63c47eda3be9af85,2025-03-13,2025-03-13 23:21:14.000 UTC,58685177,129,0xAAA78E8C4241990B4ce159E105dA08129345946A,650577733368885,0,524437973
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0xb2c14115cd8481f5351e2e86748a0ce581225edda155bd5386f3736d34fb6af9,2025-03-09,2025-03-09 06:33:43.000 UTC,58449932,2,0xAAA78E8C4241990B4ce159E105dA08129345946A,11151412778482285000390,62187418619793341139219,0
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0x976e4b04f68dab5ce199bd82eeb41e9a1aa5eeabb131217b1ee5e480013376ee,2025-03-13,2025-03-13 06:35:40.000 UTC,58649300,11,0xAAA78E8C4241990B4ce159E105dA08129345946A,2335731310423601,12209284139237906708,270382318
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0x5a28999f8d25b6ed22e1229da771bcca02a88ab266388a550d746f1b625c7887,2025-03-10,2025-03-10 15:08:37.000 UTC,58517737,74,0xAAA78E8C4241990B4ce159E105dA08129345946A,243785280702409,520452102913678767,0
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0x4e38a1e7ff12254fa5bf499d4398f62d859ca5b26047be07313209e0614fa9ed,2025-03-10,2025-03-10 05:24:32.000 UTC,58497439,38,0xAAA78E8C4241990B4ce159E105dA08129345946A,5280519720859083404783,0,4130500210628317635623
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0xf885de6f32c88b348dc8a1bb5ba3b3e7df6d23bec6c8740316eada9411f8fb3b,2025-03-11,2025-03-11 23:53:28.000 UTC,58586466,33,0xAAA78E8C4241990B4ce159E105dA08129345946A,786925110133999,9437057739036726440,312454085
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0xf9b51de8e310da6f8c3d38ae4394880ad2295a8b164abfcdf55281f1b4b9af6a,2025-03-07,2025-03-07 21:10:18.000 UTC,58384321,18,0xAAA78E8C4241990B4ce159E105dA08129345946A,20083915144820474561958,99999999999999999999999,0
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0xb19a15e63ef44d081ff18eb3aa68edb8b39f13a2aa35fa3deda0ca036e026232,2025-03-08,2025-03-08 08:06:14.000 UTC,58406458,11,0xAAA78E8C4241990B4ce159E105dA08129345946A,2394228626957522,12935723812120854700,269927122
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0xcafd71773c5e2ca7dbb35a8503b5b6d4e58a997d6d2ea09417bdc9d522556529,2025-05-11,2025-05-11 00:45:05.000 UTC,61812283,25,0xAAA78E8C4241990B4ce159E105dA08129345946A,2801725128348767458627,44546829623818429453,0
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0x14809390b8d62cdff7d3f030611fd71dae721b38d87339d7aa044b97991182a4,2025-03-09,2025-03-09 16:21:20.000 UTC,58469116,15,0xAAA78E8C4241990B4ce159E105dA08129345946A,4122699131174349,27441786750889459407,0
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0xff86f9344c99309af31cd6b71c789fde6185a584d42991d257fd073483ed4700,2025-03-11,2025-03-11 23:45:31.000 UTC,58586209,11,0xAAA78E8C4241990B4ce159E105dA08129345946A,356458070032694,300834609954838257,255779553
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0x8dfb64f11ac8ed459e65748d4a36b9b3f9cdd7c0acdbf8ea7d0af70b1c5d19d2,2025-03-10,2025-03-10 03:35:01.000 UTC,58494000,12,0xAAA78E8C4241990B4ce159E105dA08129345946A,4313040244659795214166,3582656046281570934,3773755618762253095226
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0x2825c16f0bc0672aa5f8bab24bc660b027c37ffba24a01c18a6d07113425db96,2025-03-09,2025-03-09 06:57:58.000 UTC,58450654,37,0xAAA78E8C4241990B4ce159E105dA08129345946A,5604176212585006,25592785504827269991,232997236
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0xef6a0f32163227af1f742d1e2f4430308b8a2fd988471b6bf33cc055b49a9dc7,2025-03-07,2025-03-07 21:15:05.000 UTC,58384495,15,0xAAA78E8C4241990B4ce159E105dA08129345946A,19081851966654053073596,98887877471704184251345,0
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0x6965370816f7bf2c8624b6a933993125932dbff190b0aaba5d07fcb326a01a34,2025-03-09,2025-03-09 21:17:56.000 UTC,58480561,12,0xAAA78E8C4241990B4ce159E105dA08129345946A,3030963767766137,27664481043672680140,0
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0xe19fe1113d78b8b2f4bea3be2be777b93cf5288b8e19afc174ead5a88ed00bc0,2025-03-08,2025-03-08 08:31:14.000 UTC,58407218,1,0xAAA78E8C4241990B4ce159E105dA08129345946A,3826406357868799934463,31703516067151162392003,10269514235141616905
0x512567df669706e650b7522dd809e03dd9a8af80,0x82a4dcd6e9fc1747f5a8f74dac12c90e4e48967a9665b7e19cc637887d241ca1,2025-08-03,2025-08-03 17:08:48.000 UTC,66506542,23,0x3fED017EC0f5517Cdf2E8a9a4156c64d74252146,287923884237623,9008930360,5386103821
0xde77e4972672f995d19e275d7652c274778d4cbb,0xbe9166679fd35339f50cc8d590cbded130ecd0ce0fa6eb735f7f3b2918cecf25,2025-08-01,2025-08-01 21:25:04.000 UTC,66414761,12,0x3fED017EC0f5517Cdf2E8a9a4156c64d74252146,120755393028149,10014330034,8097641170
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0xed0bd357c7b1645daef6df3eef6539ebbcc49254331ba69e227992a2f4bf01fc,2025-03-16,2025-03-16 15:48:34.000 UTC,58810260,51,0xAAA78E8C4241990B4ce159E105dA08129345946A,580946776815404,623163705033411482,0
