sickle_address,tx_hash,block_date,block_time,block_number,log_index,address,from,to,amount
0xd38f4e03cb01685fcfc811f28b90bdcd222120ff,0xc2fa568589738353a5bc9008a27acc852c7920d23787c2858f0994567d1a21af,2025-10-22,2025-10-22 00:38:53.000 UTC,70701762,9,0x9702230A8Ea53601f5cD2dc00fDBc13d4dF4A8c7,0xD38F4E03cB01685FCFc811F28B90BDCd222120fF,0x04E1dee021Cd12bBa022A72806441B43d8212Fec,8840037
0xd38f4e03cb01685fcfc811f28b90bdcd222120ff,0xc2fa568589738353a5bc9008a27acc852c7920d23787c2858f0994567d1a21af,2025-10-22,2025-10-22 00:38:53.000 UTC,70701762,12,0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E,0x859592A4A469610E573f96Ef87A0e5565F9a94c8,0x04E1dee021Cd12bBa022A72806441B43d8212Fec,8844512
0xd38f4e03cb01685fcfc811f28b90bdcd222120ff,0xc2fa568589738353a5bc9008a27acc852c7920d23787c2858f0994567d1a21af,2025-10-22,2025-10-22 00:38:53.000 UTC,70701762,13,0x9702230A8Ea53601f5cD2dc00fDBc13d4dF4A8c7,0x04E1dee021Cd12bBa022A72806441B43d8212Fec,0x859592A4A469610E573f96Ef87A0e5565F9a94c8,8840037
0xd38f4e03cb01685fcfc811f28b90bdcd222120ff,0xc2fa568589738353a5bc9008a27acc852c7920d23787c2858f0994567d1a21af,2025-10-22,2025-10-22 00:38:53.000 UTC,70701762,15,0x9702230A8Ea53601f5cD2dc00fDBc13d4dF4A8c7,0x859592A4A469610E573f96Ef87A0e5565F9a94c8,0x2A8bceE2F6098FCB65E01F75211558F689225F55,664
0xd38f4e03cb01685fcfc811f28b90bdcd222120ff,0xc2fa568589738353a5bc9008a27acc852c7920d23787c2858f0994567d1a21af,2025-10-22,2025-10-22 00:38:53.000 UTC,70701762,16,0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E,0x859592A4A469610E573f96Ef87A0e5565F9a94c8,0x2A8bceE2F6098FCB65E01F75211558F689225F55,160731
0xd38f4e03cb01685fcfc811f28b90bdcd222120ff,0xc2fa568589738353a5bc9008a27acc852c7920d23787c2858f0994567d1a21af,2025-10-22,2025-10-22 00:38:53.000 UTC,70701762,21,0xEb2729257280580694A06C499CB8C622e74215c8,0x0845601464919Fa8049325cfdD8e28F03B7A41B2,0xD2F97b0a08452c8aa4386123c8A32133C2fA6a12,19813717810626616320473414
0xd38f4e03cb01685fcfc811f28b90bdcd222120ff,0xc2fa568589738353a5bc9008a27acc852c7920d23787c2858f0994567d1a21af,2025-10-22,2025-10-22 00:38:53.000 UTC,70701762,22,0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E,0x04E1dee021Cd12bBa022A72806441B43d8212Fec,0x0845601464919Fa8049325cfdD8e28F03B7A41B2,8844512
0xd38f4e03cb01685fcfc811f28b90bdcd222120ff,0xc2fa568589738353a5bc9008a27acc852c7920d23787c2858f0994567d1a21af,2025-10-22,2025-10-22 00:38:53.000 UTC,70701762,23,0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E,0x0845601464919Fa8049325cfdD8e28F03B7A41B2,0xa0b973d5408E88bb666f010a6347eCE0f13e3602,44223
0xd38f4e03cb01685fcfc811f28b90bdcd222120ff,0xc2fa568589738353a5bc9008a27acc852c7920d23787c2858f0994567d1a21af,2025-10-22,2025-10-22 00:38:53.000 UTC,70701762,27,0xcd94a87696FAC69Edae3a70fE5725307Ae1c43f6,0xD2F97b0a08452c8aa4386123c8A32133C2fA6a12,0xD38F4E03cB01685FCFc811F28B90BDCd222120fF,65435539219312539148
0xd38f4e03cb01685fcfc811f28b90bdcd222120ff,0xc2fa568589738353a5bc9008a27acc852c7920d23787c2858f0994567d1a21af,2025-10-22,2025-10-22 00:38:53.000 UTC,70701762,28,0xEb2729257280580694A06C499CB8C622e74215c8,0xD2F97b0a08452c8aa4386123c8A32133C2fA6a12,0x26EfDBF48e87Ca9D692b36c14ddfb39703D3B973,138696024674386314243313
