sickle_address,tx_hash,block_date,block_time,log_index,block_number,address,from,to,amount0,amount1,sqrtPriceX96,liquidity,tick,protocolFeesToken0,protocolFeesToken1
0x9c3ade0b6810b3319d378d3bbc73a804d5b7e064,0x5d7993245a8be3965d902da156ba95fc0ae849bc2a54c0936fd2a78718544c53,2025-01-05,2025-01-05 05:42:01.000 UTC,288,24633187,0xEa34EA0D44b035ce1B7D87D47a77E3B251013b06,0xb5D99A61a5d34E3EDfEea052483f49F7a922e248,0xb5D99A61a5d34E3EDfEea052483f49F7a922e248,-49948769,32545182086570868487,63964949074818544950770276736256754,84804486379401082,272043,0,1073991008856838
0x9c3ade0b6810b3319d378d3bbc73a804d5b7e064,0xc5b809c46214fa59f625962b3783e23711da984414c090979043d3a2686e38d7,2024-12-30,2024-12-30 19:34:11.000 UTC,295,24398952,0xb94b22332ABf5f89877A14Cc88f2aBC48c34B3Df,0xb5D99A61a5d34E3EDfEea052483f49F7a922e248,0xb5D99A61a5d34E3EDfEea052483f49F7a922e248,68981087,-73286,2582515138069380425082363869,101548154419,-68475,2276,0
0x9c3ade0b6810b3319d378d3bbc73a804d5b7e064,0xc5b809c46214fa59f625962b3783e23711da984414c090979043d3a2686e38d7,2024-12-30,2024-12-30 19:34:11.000 UTC,298,24398952,0xC211e1f853A898Bd1302385CCdE55f33a8C4B3f3,0xb5D99A61a5d34E3EDfEea052483f49F7a922e248,0xb5D99A61a5d34E3EDfEea052483f49F7a922e248,-20286338487199062,73286,150579771240448039980887,4026376155033240,-263481,0,2
0x9c3ade0b6810b3319d378d3bbc73a804d5b7e064,0xd5585da475709d578f4b631874d8dbd5deec83bc19fa367f9029e86a42d120b3,2025-05-23,2025-05-23 19:51:41.000 UTC,492,30620277,0x7CB770D0513c30e0CB45E4899e4a2CbEEd6F9830,0x2a8466a3135d1E4D51B2eBe07bfb9D1f6797795b,0x2a8466a3135d1E4D51B2eBe07bfb9D1f6797795b,-2185877682467589972,4541573,114174301995574693796244,95387832737904893,-269016,0,772
0x9c3ade0b6810b3319d378d3bbc73a804d5b7e064,0xd5585da475709d578f4b631874d8dbd5deec83bc19fa367f9029e86a42d120b3,2025-05-23,2025-05-23 19:51:41.000 UTC,495,30620277,0x72AB388E2E2F6FaceF59E3C3FA2C4E29011c2D38,0x2a8466a3135d1E4D51B2eBe07bfb9D1f6797795b,0x2a8466a3135d1E4D51B2eBe07bfb9D1f6797795b,-54190106241982253,138791783,4009413130160922195380010,558950606307671279,-197839,0,4580
0x9c3ade0b6810b3319d378d3bbc73a804d5b7e064,0xd5585da475709d578f4b631874d8dbd5deec83bc19fa367f9029e86a42d120b3,2025-05-23,2025-05-23 19:51:41.000 UTC,502,30620277,0x129BdaF4A268018ACc0FEdc6022C215b9DC15189,0x2a8466a3135d1E4D51B2eBe07bfb9D1f6797795b,0x2a8466a3135d1E4D51B2eBe07bfb9D1f6797795b,-4301805515666807,4733016671712915,83100096201877113901427118650,35585081139163763902910,954,0,156189550166
0x9c3ade0b6810b3319d378d3bbc73a804d5b7e064,0xd5585da475709d578f4b631874d8dbd5deec83bc19fa367f9029e86a42d120b3,2025-05-23,2025-05-23 19:51:41.000 UTC,505,30620277,0xC5866F9D5e051c0D1a377c9494bEA1a90E4fDF7d,0x2a8466a3135d1E4D51B2eBe07bfb9D1f6797795b,0x2a8466a3135d1E4D51B2eBe07bfb9D1f6797795b,-6315141815853628,6948155757721516,83102549488662148159375075385,6225187599553770485963,954,0,69481557577
0x9c3ade0b6810b3319d378d3bbc73a804d5b7e064,0xd5585da475709d578f4b631874d8dbd5deec83bc19fa367f9029e86a42d120b3,2025-05-23,2025-05-23 19:51:41.000 UTC,520,30620277,0x8912BD00A81B85D5618C1965f2A5cCdc034195b6,0x2a8466a3135d1E4D51B2eBe07bfb9D1f6797795b,0x19cEeAd7105607Cd444F5ad10dd51356436095a1,1377975907032930,-3241,121550385666306886533577,27003277048149,-267764,234255904195,0
0x9c3ade0b6810b3319d378d3bbc73a804d5b7e064,0xd5585da475709d578f4b631874d8dbd5deec83bc19fa367f9029e86a42d120b3,2025-05-23,2025-05-23 19:51:41.000 UTC,523,30620277,0xB5A0f8BAc329E0ed1aC0a8a65b84a7CD76e1a1Ad,0x2a8466a3135d1E4D51B2eBe07bfb9D1f6797795b,0x19cEeAd7105607Cd444F5ad10dd51356436095a1,2510267083156808,-5906,121518390385075659539735,14454271419824,-267769,50205341663,0
0x9c3ade0b6810b3319d378d3bbc73a804d5b7e064,0xd5585da475709d578f4b631874d8dbd5deec83bc19fa367f9029e86a42d120b3,2025-05-23,2025-05-23 19:51:41.000 UTC,529,30620277,0xceBB586caa15107FE7228dc9CEC22541E05792F1,0x2a8466a3135d1E4D51B2eBe07bfb9D1f6797795b,0x19cEeAd7105607Cd444F5ad10dd51356436095a1,2185877682467589972,-4167,3459387011338589733032,232162897302074,-338952,371599206019490,0
0x9c3ade0b6810b3319d378d3bbc73a804d5b7e064,0xd5585da475709d578f4b631874d8dbd5deec83bc19fa367f9029e86a42d120b3,2025-05-23,2025-05-23 19:51:41.000 UTC,538,30620277,0x7CB770D0513c30e0CB45E4899e4a2CbEEd6F9830,0x2a8466a3135d1E4D51B2eBe07bfb9D1f6797795b,0x2a8466a3135d1E4D51B2eBe07bfb9D1f6797795b,-2131989525105187436,4429899,114177979584816895012045,95387832737904893,-269016,0,753
0x9c3ade0b6810b3319d378d3bbc73a804d5b7e064,0xd5585da475709d578f4b631874d8dbd5deec83bc19fa367f9029e86a42d120b3,2025-05-23,2025-05-23 19:51:41.000 UTC,541,30620277,0x72AB388E2E2F6FaceF59E3C3FA2C4E29011c2D38,0x2a8466a3135d1E4D51B2eBe07bfb9D1f6797795b,0x2a8466a3135d1E4D51B2eBe07bfb9D1f6797795b,-24642309329025711,63114371,4009422075379869966938922,558950606307671279,-197839,0,2082
